00,0x08004000,0x2000F000
01,0x08004004,0x0800F30D
02,0x08004008,0x080147A5
03,0x0800400C,0x080147A7
04,0x08004010,0x080147A9
05,0x08004014,0x080147AB
06,0x08004018,0x080147AD
07,0x0800401C,0x00000000
08,0x08004020,0x00000000
09,0x08004024,0x00000000
10,0x08004028,0x00000000
11,0x0800402C,0x080147AF
12,0x08004030,0x00000000
13,0x08004034,0x00000000
14,0x08004038,0x080147B1
15,0x0800403C,0x080147B3
16,0x08004040,0x0800F355
17,0x08004044,0x080147BB
18,0x08004048,0x0800F355
19,0x0800404C,0x0800F355
20,0x08004050,0x0800F355
21,0x08004054,0x0800F355
22,0x08004058,0x080147BF
23,0x0800405C,0x0800F355
24,0x08004060,0x080147C1
25,0x08004064,0x080147F1
26,0x08004068,0x0800F355
27,0x0800406C,0x0800F355
28,0x08004070,0x0800F355
29,0x08004074,0x0800F355
30,0x08004078,0x0800F355
31,0x0800407C,0x0800F355
32,0x08004080,0x0800F355
33,0x08004084,0x0800F355
34,0x08004088,0x0800F355
35,0x0800408C,0x08014821
36,0x08004090,0x0800F355
37,0x08004094,0x080147B7
38,0x08004098,0x08014825
39,0x0800409C,0x0800F355
40,0x080040A0,0x0800F355
41,0x080040A4,0x0800F355
42,0x080040A8,0x0800F355
43,0x080040AC,0x0800F355
44,0x080040B0,0x0800F355
45,0x080040B4,0x0800F355
46,0x080040B8,0x0800F355
47,0x080040BC,0x0801481D
