00,0x0800F000,0x2000F000
01,0x0800F004,0x0800F30D
02,0x0800F008,0x080147A5
03,0x0800F00C,0x080147A7
04,0x0800F010,0x080147A9
05,0x0800F014,0x080147AB
06,0x0800F018,0x080147AD
07,0x0800F01C,0x00000000
08,0x0800F020,0x00000000
09,0x0800F024,0x00000000
10,0x0800F028,0x00000000
11,0x0800F02C,0x080147AF
12,0x0800F030,0x00000000
13,0x0800F034,0x00000000
14,0x0800F038,0x080147B1
15,0x0800F03C,0x080147B3
16,0x0800F040,0x0800F355
17,0x0800F044,0x080147BB
18,0x0800F048,0x0800F355
19,0x0800F04C,0x0800F355
20,0x0800F050,0x0800F355
21,0x0800F054,0x0800F355
22,0x0800F058,0x080147BF
23,0x0800F05C,0x0800F355
24,0x0800F060,0x080147C1
25,0x0800F064,0x080147F1
26,0x0800F068,0x0800F355
27,0x0800F06C,0x0800F355
28,0x0800F070,0x0800F355
29,0x0800F074,0x0800F355
30,0x0800F078,0x0800F355
31,0x0800F07C,0x0800F355
32,0x0800F080,0x0800F355
33,0x0800F084,0x0800F355
34,0x0800F088,0x0800F355
35,0x0800F08C,0x08014821
36,0x0800F090,0x0800F355
37,0x0800F094,0x080147B7
38,0x0800F098,0x08014825
39,0x0800F09C,0x0800F355
40,0x0800F0A0,0x0800F355
41,0x0800F0A4,0x0800F355
42,0x0800F0A8,0x0800F355
43,0x0800F0AC,0x0800F355
44,0x0800F0B0,0x0800F355
45,0x0800F0B4,0x0800F355
46,0x0800F0B8,0x0800F355
47,0x0800F0BC,0x0801481D
